# M4 walker A/B (held-out-seed accuracy, torso-width units)
# random_seed=12345 sample_n_per_video=20 per_video_budget_s=240.0
video,a_frame,b_frame,c_frame,hermite_err,walker_err,delta,classification
IMG_3830.mkv,247,248,249,0.064,0.744,+0.680,regressed
IMG_3830.mkv,770,773,776,0.287,1.259,+0.972,regressed
IMG_3830.mkv,1466,1467,1472,0.167,1.001,+0.834,regressed
IMG_3830.mkv,1624,1632,1656,0.068,0.245,+0.177,regressed
IMG_3830.mkv,1702,1703,1704,0.054,0.287,+0.233,regressed
IMG_3830.mkv,1725,1727,1728,0.140,0.039,-0.101,preserved
IMG_3830.mkv,1818,1819,1820,0.020,0.219,+0.199,regressed
IMG_3830.mkv,1827,1828,1829,0.042,0.017,-0.025,preserved
IMG_3830.mkv,1857,1859,1862,0.189,0.357,+0.168,regressed
IMG_3830.mkv,2240,2241,2242,0.075,0.669,+0.594,regressed
IMG_3830.mkv,2400,2401,2404,0.248,0.763,+0.515,regressed
IMG_3830.mkv,2410,2414,2416,0.104,0.619,+0.514,regressed
IMG_3830.mkv,2762,2764,2768,0.102,0.176,+0.075,preserved
IMG_3830.mkv,2955,2957,2960,0.111,0.416,+0.305,regressed
IMG_3830.mkv,2966,2988,2989,0.010,0.101,+0.092,preserved
IMG_3830.mkv,3917,3918,3919,0.071,0.117,+0.046,preserved
IMG_3830.mkv,3926,3927,3928,0.042,0.138,+0.096,preserved
IMG_3830.mkv,3930,3931,3932,0.021,0.092,+0.071,preserved
IMG_3830.mkv,4028,4029,4031,0.058,0.334,+0.276,regressed
IMG_3830.mkv,4080,4081,4089,0.077,0.422,+0.345,regressed
# [IMG_3830.mkv] done in 17.5s: needs_review=0, preserved=7, regressed=13, rescued=0, skipped_budget=0
IMG_3823.mkv,134,136,137,0.180,0.214,+0.034,preserved
IMG_3823.mkv,494,495,496,0.160,0.288,+0.128,preserved
IMG_3823.mkv,558,559,560,0.058,0.196,+0.138,preserved
IMG_3823.mkv,621,624,625,0.083,0.500,+0.417,regressed
IMG_3823.mkv,731,736,741,0.263,1.527,+1.264,regressed
